Emoji,Sentiment
😂,positive
❤,positive
♥,positive
😍,positive
😭,negative
😘,positive
😊,positive
👌,positive
💕,positive
👏,positive
😁,positive
☺,positive
♡,positive
👍,positive
😩,negative
🙏,positive
✌,positive
😏,positive
😉,positive
🙌,positive
🙈,positive
💪,positive
😄,positive
😒,negative
💃,positive
💖,positive
😃,positive
😔,negative
😱,positive
🎉,positive
😜,positive
☯,neutral
🌸,positive
💜,positive
💙,positive
✨,neutral
😳,positive
💗,positive
★,neutral
█,neutral
☀,positive
😡,negative
😎,positive
😢,positive
💋,positive
😋,positive
🙊,positive
😴,negative
🎶,positive
💞,positive
😌,positive
🔥,neutral
💯,positive
🔫,negative
💛,positive
💁,positive
💚,positive
♫,neutral
😞,negative
😆,positive
😝,positive
😪,negative
�,neutral
😫,negative
😅,positive
👊,positive
💀,negative
😀,positive
😚,positive
😻,positive
©,neutral
👀,neutral
💘,positive
🐓,neutral
☕,neutral
👋,positive
✋,positive
🎊,positive
🍕,positive
❄,positive
😥,positive
😕,negative
💥,neutral
💔,negative
😤,negative
😈,positive
►,neutral
✈,neutral
🔝,positive
😰,negative
⚽,positive
😑,negative
👑,positive
😹,positive
👉,neutral
🍃,positive
🎁,positive
😠,negative
🐧,positive
☆,neutral
🍀,neutral
🎈,positive
🎅,neutral
😓,negative
😣,negative
😐,negative
✊,positive
😨,negative
😖,negative
💤,positive
💓,positive
👎,negative
💦,positive
✔,neutral
😷,negative
⚡,neutral
🙋,positive
🎄,positive
💩,negative
🎵,positive
➡,neutral
😛,positive
😬,positive
👯,positive
💎,positive
🌿,neutral
🎂,positive
🌟,neutral
🔮,neutral
❗,neutral
👫,positive
🏆,positive
✖,neutral
☝,positive
😙,positive
⛄,positive
👅,positive
♪,positive
🍂,positive
💏,positive
🔪,neutral
🌴,positive
👈,positive
🌹,positive
🙆,positive
➜,neutral
👻,neutral
💰,neutral
🍻,positive
🙅,negative
🌞,positive
🍁,positive
⭐,positive
▪,neutral
🎀,positive
━,neutral
☷,neutral
🐷,neutral
🙉,positive
🌺,positive
💅,positive
🐶,positive
🌚,positive
👽,neutral
🎤,positive
👭,positive
🎧,positive
👆,positive
🍸,positive
🍷,neutral
®,neutral
🍉,positive
😇,positive
☑,neutral
🏃,positive
😿,negative
│,neutral
💣,neutral
🍺,positive
▶,neutral
😲,negative
🎸,positive
🍹,positive
💫,positive
📚,positive
😶,negative
🌷,positive
💝,positive
💨,positive
🏈,positive
💍,positive
☔,positive
👸,positive
🇪,positive
░,neutral
🍩,positive
👾,neutral
☁,positive
🌻,positive
😵,positive
📒,neutral
↿,positive
🐯,positive
👼,positive
🍔,positive
😸,positive
👶,positive
↾,positive
💐,positive
🌊,positive
🍦,positive
🍓,positive
👇,neutral
💆,positive
🍴,positive
😧,negative
🇸,positive
😮,positive
▓,neutral
🚫,negative
😽,positive
🌈,positive
🙀,positive
⚠,neutral
🎮,positive
╯,neutral
🍆,positive
🍰,positive
✓,neutral
👐,negative
🙇,positive
🍟,positive
🍌,positive
💑,positive
👬,negative
🐣,positive
🎃,positive
▬,neutral
￼,negative
😟,positive
🐾,positive
🎓,positive
🏊,positive
🍫,positive
📷,positive
👄,positive
🌼,positive
🚶,neutral
🐱,positive
║,neutral
🐸,neutral
🇺,positive
👿,negative
🚬,positive
✿,neutral
📖,positive
🐒,positive
🌍,positive
┊,positive
🐥,positive
🌀,neutral
🐼,neutral
🎥,neutral
💄,positive
💸,positive
⛔,positive
●,neutral
🏀,positive
💉,positive
💟,positive
🚗,neutral
😯,positive
📝,neutral
═,neutral
♦,positive
💭,neutral
🌙,positive
🐟,positive
👣,positive
☞,neutral
✂,negative
🗿,positive
🍝,positive
👪,negative
🍭,positive
🌃,neutral
❌,positive
🐰,positive
💊,positive
🚨,positive
😦,negative
🍪,positive
🍣,negative
╭,neutral
✧,neutral
🎆,positive
╮,neutral
🎎,positive
🇩,positive
✅,positive
👹,neutral
📱,neutral
🙍,negative
🍑,positive
🎼,neutral
🔊,positive
🌌,positive
🍎,positive
🐻,positive
─,neutral
╰,neutral
💇,positive
♬,neutral
♚,neutral
🔴,neutral
🍱,negative
🍊,positive
🍒,positive
🐭,positive
👟,positive
🌎,positive
🍍,positive
🐮,positive
📲,positive
☼,neutral
🌅,positive
🇷,positive
👠,positive
🌽,positive
💧,negative
❓,neutral
🍬,positive
😺,positive
🐴,neutral
🚀,positive
¦,positive
💢,neutral
🎬,neutral
🍧,positive
🍜,positive
🐏,positive
🐘,neutral
👧,positive
⠀,neutral
🏄,positive
➤,neutral
⬆,neutral
🍋,positive
🆗,positive
⚪,neutral
📺,positive
🍅,positive
⛅,positive
🐢,neutral
👙,positive
🏡,positive
🌾,positive
◉,neutral
✏,positive
🐬,positive
🍤,neutral
🇹,positive
♣,positive
🐝,neutral
🌝,neutral
🇮,positive
🔋,negative
🐍,positive
♔,positive
🍳,positive
🔵,positive
😾,negative
🌕,positive
🐨,positive
🔐,positive
💿,positive
❁,neutral
🌳,positive
👰,positive
❀,neutral
⚓,positive
🚴,positive
▀,neutral
👗,positive
➕,positive
💬,positive
▒,neutral
🔜,positive
🍨,positive
💲,neutral
⛽,neutral
🍙,positive
🍗,positive
🍲,positive
🍥,negative
▸,neutral
♛,neutral
😼,positive
🐙,positive
👨,positive
🍚,positive
🍖,positive
♨,positive
🎹,neutral
♕,neutral
▃,positive
🚘,positive
🍏,neutral
👩,positive
👦,neutral
🇬,neutral
🇧,neutral
☠,neutral
🐠,positive
🚹,positive
💵,positive
✰,positive
╠,neutral
👛,positive
🚙,neutral
🌱,positive
💻,neutral
🌏,positive
▄,neutral
👓,neutral
◄,neutral
⚾,negative
🌲,positive
👴,positive
🏠,positive
🍇,positive
🍘,positive
🍛,positive
🐇,positive
🔞,neutral
👵,positive
◀,neutral
🔙,neutral
🌵,positive
🐽,neutral
🍮,negative
🎇,positive
🐎,positive
➔,neutral
💶,neutral
🐤,positive
╩,neutral
🛀,positive
🌑,positive
🚲,positive
🐑,neutral
🏁,positive
🍞,neutral
🎾,positive
╚,neutral
🈹,neutral
🐳,neutral
👮,negative
☹,negative
🐵,positive
✪,neutral
◕,positive
🗼,positive
▐,neutral
♠,neutral
┳,negative
👺,negative
🐚,neutral
👂,neutral
🗽,neutral
🍵,positive
🆒,neutral
🍯,positive
🐺,neutral
⇨,positive
➨,neutral
🌓,positive
🔒,positive
╬,neutral
👳,positive
🌂,neutral
🚌,neutral
♩,positive
🍡,neutral
❥,neutral
🎡,neutral
💌,positive
🐩,neutral
🌜,positive
⌚,neutral
🚿,positive
🐖,neutral
🔆,positive
🌛,positive
💂,negative
🐔,neutral
🙎,negative
🏩,positive
🇫,positive
🔨,negative
📢,positive
🐦,positive
🐲,neutral
♻,positive
🌘,positive
🍐,positive
🌔,positive
╥,positive
❊,neutral
👖,positive
🚺,neutral
😗,positive
🎭,positive
🐄,positive
◟,neutral
🍢,neutral
🎨,neutral
⬇,positive
🚼,positive
⛲,neutral
▁,neutral
🇴,neutral
🌗,positive
🌖,positive
🔅,positive
👜,positive
🐌,positive
💼,positive
🚕,neutral
🐹,positive
🌠,positive
🐈,neutral
⇧,neutral
☎,neutral
🌁,neutral
⚫,positive
♧,positive
🏰,neutral
🚵,neutral
🎢,positive
🎷,positive
🎐,neutral
┈,negative
╗,neutral
╱,neutral
🌇,positive
⏰,positive
⇩,neutral
🚂,neutral
◠,positive
🎿,positive
✦,neutral
🆔,positive
⛪,neutral
🌒,positive
🐪,positive
╔,neutral
╝,positive
👔,positive
🔱,neutral
🆓,neutral
🐋,positive
▽,positive
▂,neutral
🐛,positive
👕,positive
🚋,neutral
💳,positive
🌆,neutral
🏧,positive
💡,positive
🔹,neutral
⬅,positive
🍠,positive
🐫,neutral
🏪,neutral
۩,neutral
🇱,positive
📹,positive
👞,positive
🚑,positive
🆘,positive
👚,positive
🚍,positive
□,negative
🐂,neutral
🚣,positive
✳,neutral
🏉,positive
🗻,positive
🐀,neutral
╦,neutral
⛺,positive
🐕,neutral
🏂,positive
👡,positive
📻,positive
✒,neutral
🌰,positive
🏢,neutral
🎒,positive
⌒,positive
🏫,negative
📴,positive
🚢,positive
🚚,neutral
🐉,neutral
❒,neutral
🐊,neutral
🔔,positive
◢,positive
🏥,positive
❔,positive
🚖,neutral
🃏,positive
▼,neutral
▌,negative
☛,neutral
✩,neutral
💒,positive
🚤,neutral
🐐,positive
■,negative
🔚,positive
🎻,neutral
🔷,neutral
🚦,neutral
🔓,positive
🎽,positive
📅,positive
🎺,positive
✯,neutral
🍈,negative
✉,positive
╣,neutral
◤,positive
○,positive
🍼,positive
📀,neutral
🚛,neutral
📓,neutral
☉,neutral
💴,neutral
┼,neutral
🐃,neutral
➰,negative
🔌,negative
🍄,neutral
📕,neutral
📣,positive
🚓,neutral
🐗,positive
↪,neutral
⛳,positive
┻,negative
┛,positive
┃,positive
👱,neutral
⏳,positive
💺,positive
🏇,negative
☻,positive
📞,positive
Ⓐ,neutral
🌉,positive
🚩,negative
✎,positive
📃,positive
🏨,neutral
📌,negative
♎,neutral
💷,positive
🚄,positive
▲,positive
⛵,positive
🔸,neutral
⌛,positive
🚜,positive
🐆,neutral
👒,positive
❕,positive
🔛,positive
♢,neutral
🇲,positive
❅,positive
👝,positive
✞,positive
◡,neutral
🎋,positive
👥,positive
📵,neutral
🐡,neutral
◆,positive
🏯,neutral
☂,neutral
🔭,positive
🎪,neutral
🐜,positive
♌,positive
☐,negative
👷,positive
↳,neutral
🔈,neutral
📄,positive
📍,neutral
🚐,positive
